PRODUCT LIST,,,,,,,
,,,,,,,
,WHEY PROTIEN SECTION,NET WEIGHT,FLAVOURES,PRICE,MRP,discount,WebUpdate
10,GNC Pro Performance Creatine Monohydrate,250 GM,UNFLAVOURED/ ORANGE/ BLUEBERRY / CRANBERRY / LEMON,?799.00,"?1,599.00",50%,
11,GNC Pro Performance Creatine Monohydrate,400GM,UNFLAVOURED/ ORANGE/ BLUEBERRY / CRANBERRY / LEMON,"?1,199.00","?2,399.00",50%,
12,GNC Creatine+ Electrolytes,100GM,UNFLAVOURED / ORANGE / LEMON,?691.00,?889.00,22%,
13,GNC Creatine+ Electrolytes,250GM,UNFLAVOURED / ORANGE / LEMON,"?1,383.00","?1,779.00",22%,
14,GNC Creatine+ Electrolytes,400GM,UNFLAVOURED / ORANGE / LEMON,"?2,315.00","?2,669.00",13%,
,,,,,,#DIV/0!,
,Fast&Up Creatine Monohydrate Essentials,20N,ORANGE,?212.00,?265.00,20%,
,,,,,,#DIV/0!,
15,Muscletech Platinum 100% Creatine,100GM,UNFLAVOURED,?439.00,?699.00,37%,
16,Muscletech Platinum 100% Creatine,250GM,UNFLAVOURED,?749.00,"?1,779.00",58%,
17,Muscletech Platinum 100% Creatine,400GM,,"?1,199.00","?1,949.00",38%,
,Crealean Strength Creatine Powder,100G,UNFLAVOURED,?449.00,?699.00,36%,
,Crealean Strength Creatine Powder,250G,,,,,
18,ON Micronised Creatine Powder Unflavored,100GM,UNFLAVOURED,?489.00,?619.00,21%,
19,ON Micronised Creatine Powder Unflavored,250GM,UNFLAVOURED,?883.00,"?1,039.00",15%,
MASS GAINNER,,,,,,,
1,MuscleBlaze Mass Gainer XXL,1KG ,CHOCOLATE,"?1,099.00","?1,539.00",29%,
,MuscleBlaze Mass Gainer XXL,3KG,CHOCOLATE,"?2,999.00","?4,399.00",32%,
,MuscleBlaze Mass Gainer XXL,5KG,CHOCOLATE,"?4,499.00","?5,919.00",24%,
,,,,,,,
,MuscleBlaze Super Gainer XXL Weight Gainer,1KG ,CHOCOLATE,?950.00,"?1,719.00",45%,
,MuscleBlaze Super Gainer XXL Weight Gainer,3KG,CHOCOLATE,"?2,499.00","?3,829.00",35%,
,MuscleBlaze Super Gainer XXL Weight Gainer,5KG,CHOCOLATE,"?4,099.00","?6,449.00",36%,
,,,,,,,
2,GNC AMP Mass XXX,2KG,CHOCOLATE/ VANILA,"?2,599.00","?4,499.00",42%,
,GNC Pro Performance Weight Gainer,3kg,Double Chocolate / Vanila Ice Cream,"?1,799.00","?2,669.00",33%,
,,,,,,,
3,LABRADA Muscle Mass Gainer,1KG,CHOCOLATE / CAFE MOCHA,"?1,199.00","?1,799.00",33%,
,LABRADA Muscle Mass Gainer,3kg,CHOCOLATE / CAFE MOCHA,"?2,899.00","?4,499.00",36%,
,,,,,,,
4,MUSCLETECH MASSTECH EXTREME 2000,3KG,CHOCOLATE / VANILA,"?2,799.00","?4,439.00",37%,
,,,,,,,
